SA1_CODE21,Education level,Income level,Adaptive Capability Index
1101016,1097.0,1101.0,0.85725605
1101017,1014.0,934.0,0.7597265
1101101,1108.0,1105.0,0.8631041
1101102,1145.0,1157.0,0.8978201
1101103,1116.0,1122.0,0.8728573
1101104,1000.0,1050.0,0.7995477
1101105,1096.0,1140.0,0.8720888
1101106,1086.0,1147.0,0.8709239
1101107,1058.0,1115.0,0.8475218
1101108,938.0,963.0,0.7414277
1101109,1144.0,1151.0,0.89508843
1101110,1135.0,1147.0,0.8900198
1101111,1114.0,1170.0,0.89081323
1101112,1112.0,1131.0,0.8748113
1101113,1088.0,1137.0,0.8678001
1101115,1104.0,1229.0,0.909945
1101116,1052.0,1065.0,0.8256675
1101117,1059.0,1107.0,0.8447889
1101118,1018.0,1072.0,0.81514955
1101119,1039.0,1175.0,0.8635364
1101120,1107.0,1178.0,0.8912078
1101122,1086.0,1143.0,0.8693626
1101123,1078.0,1237.0,0.902935
1101125,1015.0,1066.0,0.8116385
1101126,1088.0,1084.0,0.84711313
1101127,1079.0,1153.0,0.8705379
1101128,1061.0,1181.0,0.874452
1101129,1095.0,1207.0,0.8978505
1101130,1135.0,1207.0,0.913439
1101131,1143.0,1193.0,0.9110922
1101132,1109.0,1198.0,0.8997936
1101133,1125.0,1154.0,0.8888549
1101134,1097.0,1152.0,0.87716234
1101135,1139.0,1174.0,0.90211725
1101136,1109.0,1165.0,0.88691306
1101137,1117.0,1151.0,0.88456625
1101139,1111.0,1188.0,0.89666986
1101140,1105.0,1152.0,0.88028
1101141,1043.0,1138.0,0.85065347
1101142,1153.0,1196.0,0.9161603
1101143,1137.0,1188.0,0.9068023
1101144,1128.0,1234.0,0.9212496
1101145,1073.0,1195.0,0.884593
1101146,1119.0,1220.0,0.91227776
1101147,1134.0,1226.0,0.92046535
1101148,1161.0,1216.0,0.9270844
1101149,1132.0,1227.0,0.92007625
1101150,1083.0,1181.0,0.88302565
1101151,1108.0,1194.0,0.89784265
1101152,1105.0,1217.0,0.90565085
1101201,1110.0,1097.0,0.86076105
1101202,1182.0,1265.0,0.954394
1101203,1132.0,1157.0,0.89275384
1101204,1173.0,1230.0,0.9372254
1101205,1134.0,1192.0,0.9071945
1101206,1149.0,1198.0,0.9153821
1101207,1002.0,1073.0,0.8093045
1101208,988.0,1036.0,0.78940666
1101209,1102.0,1199.0,0.89745593
1101210,1094.0,1098.0,0.854916
1101211,1116.0,1171.0,0.891983
1101212,1119.0,1113.0,0.8705135
1101213,1113.0,1150.0,0.8826171
1101214,1127.0,1161.0,0.8923666
1101215,1156.0,1086.0,0.8743942
1101216,1107.0,1136.0,0.8748144
